video_id,clip_channel_id,clip_channel_title,source_member_ko,source_member_en,unit,title,published_at,views,likes,comments,clip_channel_subs
cbhPvxF5too,UCry-cqo_sdAyNLfaGI-__mA,StelLive切り抜き 翻訳チャンネル,아야츠노 유니,Ayatsuno Yuni,EVERYS,【純角ユニ】ヴァロで人生を満喫する？ #純角ユニ #ayatsunoyuni #あやつのゆに #치지직 #stellive #아야츠노유니 #유니 #valorant #shorts,2024-04-07T11:02:50Z,3222,58.0,0.0,350
sFLPFtnAY5I,UCxOe0PDvhNL6gmuzSO88Z7Q,すてら日和,아야츠노 유니,Ayatsuno Yuni,EVERYS,【純角ユニ / 咲羽 風夜】初コラボで日本の早口言葉に挑戦する二人が可愛すぎる【ステライブ切り抜き/日韓字幕】,2025-10-26T10:30:39Z,3139,96.0,20.0,4400
ED6QI3_fEng,UCBiATOGgCqf8uoFfX-pZ1gA,Yuuki【切り抜き】,아야츠노 유니,Ayatsuno Yuni,EVERYS,Kuromu超可愛韓文讓身為韓國人Yuni 直呼超可愛#vspo中文 #vspo精華 #vtuber中文 #vtuber精華  #夜乃くろむ #純角ユニ #ろぜっくぴん,2025-10-25T10:00:20Z,5916,533.0,6.0,12200
3htJcXnFknE,UCxOe0PDvhNL6gmuzSO88Z7Q,すてら日和,아야츠노 유니,Ayatsuno Yuni,EVERYS,【咲羽風夜 / 純角ユニ】日本の有名な焼きそばで盛り上がる二人が可愛い【ステライブ切り抜き/日韓字幕】,2026-01-23T12:43:23Z,2886,158.0,29.0,4400
3Hgg0DUXM8Y,UCPM2ejUGjA1m2E_Vf_UJrQw,Krypto137 - Indie vtuber clips,아야츠노 유니,Ayatsuno Yuni,EVERYS,When Ayatsuno Yuni took off her jacket,2022-09-13T23:11:41Z,2227,101.0,17.0,1600
quoWH0RekoM,UCxOe0PDvhNL6gmuzSO88Z7Q,すてら日和,아야츠노 유니,Ayatsuno Yuni,EVERYS,【純角ユニ / 咲羽 風夜】ダイヤを巡ってイチャイチャする二人が最高に可愛い【ステライブ切り抜き/日韓字幕】,2025-11-10T11:10:00Z,2631,104.0,13.0,4400
WiqKPYkSU6A,UC62Zg6_7T9QnEw51rWzMMhQ,후야의 컵라면,사키하네 후야,Sakihane Huya,EVERYS,[切り抜き]  StelLiveに新しい星が誕生しました！,2025-09-21T01:31:00Z,233,3.0,0.0,4
4nfTElQaRUc,UCxOe0PDvhNL6gmuzSO88Z7Q,すてら日和,사키하네 후야,Sakihane Huya,EVERYS,【咲羽 風夜】セカイのカバーに寄せられた日本からの反響を語るフヤさん【ステライブ切り抜き/日韓字幕】,2026-03-19T12:15:01Z,4716,211.0,20.0,4400
y-waPeneLc0,UC2irKUKeYTYXTougdFhzycA,ささやかな風夜の星,사키하네 후야,Sakihane Huya,EVERYS,"眞祖降臨,かっこよさ確定 [咲羽風夜 切り抜き]",2026-01-30T04:31:40Z,16,2.0,0.0,10
WEr-L-wKK6c,UCxOe0PDvhNL6gmuzSO88Z7Q,すてら日和,사키하네 후야,Sakihane Huya,EVERYS,【咲羽 風夜 / 柚葉莉子】クオリティの高いマイクラ声真似を披露して大爆笑する二人ww【ステライブ切り抜き/日韓字幕】,2025-11-19T11:10:02Z,1306,69.0,5.0,4400
Die4eYiy9ro,UCxOe0PDvhNL6gmuzSO88Z7Q,すてら日和,사키하네 후야,Sakihane Huya,EVERYS,【咲羽 風夜】ストッキングの話題に興奮を隠しきれない韓国の皆さん【ステライブ切り抜き/日韓字幕】,2025-12-21T12:30:06Z,3601,148.0,18.0,4400
SvknmsIKpzs,UC2irKUKeYTYXTougdFhzycA,ささやかな風夜の星,사키하네 후야,Sakihane Huya,EVERYS,二人でデート [咲羽風夜 切り抜き],2025-12-29T17:41:20Z,59,2.0,0.0,10
3m6jq_Sphjs,UCxOe0PDvhNL6gmuzSO88Z7Q,すてら日和,사키하네 후야,Sakihane Huya,EVERYS,風夜さんの膝を巡る3人の思惑が絶妙にすれ違っていて面白い！【ステライブ切り抜き/日韓字幕/白雪ひな・天狐紫吹・咲羽風夜】,2026-01-09T12:30:05Z,3207,132.0,15.0,4400
SDZKruUB5Cs,UC2irKUKeYTYXTougdFhzycA,ささやかな風夜の星,사키하네 후야,Sakihane Huya,EVERYS,ゼンゼロキャラ観察日記 [咲羽風夜 切り抜き],2026-01-06T18:38:26Z,19,0.0,0.0,10
CDVkGFo9dUw,UCxOe0PDvhNL6gmuzSO88Z7Q,すてら日和,사키하네 후야,Sakihane Huya,EVERYS,【咲羽 風夜】なぜか韓国ファンから&quot;最後の希望&quot;と呼ばれる風夜さんｗ【ステライブ切り抜き/日韓字幕】,2025-11-05T10:48:56Z,3253,138.0,19.0,4400
2xM9MZRJrlk,UCxOe0PDvhNL6gmuzSO88Z7Q,すてら日和,사키하네 후야,Sakihane Huya,EVERYS,【咲羽 風夜】「日本語、ここが難しい！」風夜さんの熱弁に思わず共感【ステライブ切り抜き/日韓字幕】,2025-11-02T11:15:00Z,963,44.0,1.0,4400
drN2uj35QWE,UCxOe0PDvhNL6gmuzSO88Z7Q,すてら日和,사키하네 후야,Sakihane Huya,EVERYS,【咲羽 風夜】&quot;鍛えられすぎた&quot;ファンの要望に圧倒されてしまうｗ【ステライブ切り抜き/日韓字幕】,2025-10-30T10:30:22Z,746,33.0,8.0,4400
JIrKDeRZ1yw,UCxOe0PDvhNL6gmuzSO88Z7Q,すてら日和,사키하네 후야,Sakihane Huya,EVERYS,【咲羽 風夜】いつか叶えたい夢の一つを教えてくれるフヤさん【ステライブ切り抜き/日韓字幕】,2026-04-15T12:00:38Z,1932,124.0,17.0,4400
KBdIizHnwH8,UCxOe0PDvhNL6gmuzSO88Z7Q,すてら日和,사키하네 후야,Sakihane Huya,EVERYS,【咲羽 風夜】推し活への感謝を伝える優しい女神フヤさん【ステライブ切り抜き/日韓字幕】,2026-04-01T12:15:03Z,2802,116.0,10.0,4400
oKudn29jtAk,UC2irKUKeYTYXTougdFhzycA,ささやかな風夜の星,사키하네 후야,Sakihane Huya,EVERYS,ふやは流暢な日本語実力の夢を見る [咲羽風夜 切り抜き],2025-11-17T20:14:23Z,137,8.0,4.0,10
nMgFfbpO98A,UC2irKUKeYTYXTougdFhzycA,ささやかな風夜の星,사키하네 후야,Sakihane Huya,EVERYS,まずいけど喉のケアをするふや　[咲羽風夜 切り抜き],2025-11-02T17:05:28Z,62,3.0,0.0,10
e7ij9qJ9B-g,UCxOe0PDvhNL6gmuzSO88Z7Q,すてら日和,사키하네 후야,Sakihane Huya,EVERYS,【咲羽 風夜】日本語の画期的な秘密に気づいて興奮するフヤさん【ステライブ切り抜き/日韓字幕】,2026-02-25T12:31:02Z,16447,550.0,94.0,4400
