group,cohort,generation,debut_date,channel_id,name_ko,name_en,subscribers,total_views,video_count,created_at
홀로라이브,2023 데뷔,DEV_IS ReGLOSS,2023-09-09,UCMGfV7TVTmHhEErVJg1oHBQ,히오도시 아오,Hiodoshi Ao,720000,118983644,585,2023-07-21T06:48:30.154157Z
홀로라이브,2023 데뷔,DEV_IS ReGLOSS,2023-09-09,UCWQtYtq9EOB4-I5P-3fh8lA,오토노세 카나데,Otonose Kanade,856000,243467679,986,2023-07-21T06:31:29.167364Z
홀로라이브,2023 데뷔,DEV_IS ReGLOSS,2023-09-09,UCtyWhCj3AqKh2dXctLkDtng,이치죠 리리카,Ichijou Ririka,752000,136240155,1324,2023-07-21T06:32:19.959974Z
홀로라이브,2023 데뷔,DEV_IS ReGLOSS,2023-09-09,UCdXAk5MpyLD8594lm_OvtGQ,쥬후테이 라덴,Juufuutei Raden,1270000,221304321,923,2023-07-21T06:53:00.53769Z
홀로라이브,2023 데뷔,DEV_IS ReGLOSS,2023-09-09,UC1iA6_NT4mtAcIII6ygrvCw,토도로키 하지메,Todoroki Hajime,1250000,562346654,1130,2023-07-21T06:43:44.799778Z
홀로라이브,2024 데뷔,EN Justice,2024-06-21,UCW5uhrG1eCBYditmhL0Ykjw,엘리자베스 로즈 블러드플레임,Elizabeth Rose Bloodflame,654000,43921170,332,2024-04-03T06:07:32.690387Z
홀로라이브,2024 데뷔,EN Justice,2024-06-21,UCDHABijvPBnJm7F-KlNME3w,기기 뮤린,Gigi Murin,606000,66597960,547,2024-04-03T06:09:35.23051Z
홀로라이브,2024 데뷔,EN Justice,2024-06-21,UCvN5h1ShZtc7nly3pezRayg,세실리아 이머그린,Cecilia Immergreen,540000,51884524,458,2024-04-03T06:27:22.30473Z
홀로라이브,2024 데뷔,EN Justice,2024-06-21,UCl69AEx4MdqMZH7Jtsm7Tig,라오라 판테라,Raora Panthera,687000,64400198,541,2024-04-03T06:21:25.914327Z
홀로라이브,2024 데뷔,DEV_IS FLOW GLOW,2024-11-09,UC9LSiN9hXI55svYEBrrK-tw,이사키 리오나,Isaki Riona,529000,125033732,898,2024-08-01T08:25:35.885957Z
홀로라이브,2024 데뷔,DEV_IS FLOW GLOW,2024-11-09,UCuI_opAVX6qbxZY-a-AxFuQ,코가네이 니코,Koganei Niko,654000,311508014,802,2024-08-01T08:40:13.435427Z
홀로라이브,2024 데뷔,DEV_IS FLOW GLOW,2024-11-09,UCjk2nKmHzgH5Xy-C5qYRd5A,미즈미야 스,Mizumiya Su,739000,237074158,1134,2024-08-01T08:08:02.660677Z
홀로라이브,2024 데뷔,DEV_IS FLOW GLOW,2024-11-09,UCKMWFR6lAstLa7Vbf5dH7ig,린도 치하야,Rindo Chihaya,616000,94648603,809,2024-08-01T08:43:34.503864Z
홀로라이브,2024 데뷔,DEV_IS FLOW GLOW,2024-11-09,UCGzTVXqMQHa4AgJVJIVvtDQ,키키라라 비비,Kikirara Vivi,739000,272540941,1204,2024-08-01T08:27:50.724878Z
이세계아이돌,2021-2022 데뷔,1기,2021-12-17,UCroM00J2ahCN6k-0-oAiDxg,아이네,Ine,357000,330497154,638,2021-08-26T19:32:19.705396Z
이세계아이돌,2021-2022 데뷔,1기,2021-12-17,UCHE7GBQVtdh-c1m3tjFdevQ,징버거,Jingburger,420000,304155081,1109,2013-12-19T15:05:26Z
이세계아이돌,2021-2022 데뷔,1기,2021-12-17,UC-oCJP9t47v7-DmsnmXV38Q,릴파,Lilpa,426000,349240520,1116,2021-08-23T16:21:42.181221Z
이세계아이돌,2021-2022 데뷔,1기,2021-12-17,UCTifMx1ONpElK5x6B4ng8eg,주르르,Jururu,410000,264922920,817,2015-06-28T14:36:26Z
이세계아이돌,2021-2022 데뷔,1기,2021-12-17,UCV9WL7sW6_KjanYkUUaIDfQ,고세구,Gosegu,534000,427383377,1130,2021-08-28T14:37:14.77342Z
이세계아이돌,2021-2022 데뷔,1기,2021-12-17,UCs6EwgxKLY9GG4QNUrP5hoQ,비챤,Viichan,324000,280734744,1042,2013-11-30T10:41:41Z
