date,name_ko,group,subscribers,recent_avg_views,recent_avg_engagement_rate,uploads_per_week,reach_ratio
2026-08-14,징버거,이세계아이돌,421000,125059.9,0.05566,4.14,0.297
2026-08-14,호쇼 마린,홀로라이브,4400000,767158.3,0.07058,5.49,0.174
2026-08-15,가우르 구라,홀로라이브,4610000,1252972.9,0.07281,0.8,0.272
2026-08-15,고세구,이세계아이돌,537000,100962.3,0.05508,4.41,0.188
2026-08-15,네네코 마시로,StelLive,180000,91299.4,0.05048,1.9,0.507
2026-08-15,릴파,이세계아이돌,428000,88358.3,0.06499,7.0,0.206
2026-08-15,모리 캘리오프,홀로라이브,2620000,205718.3,0.09326,5.34,0.079
2026-08-15,모모스즈 네네,홀로라이브,1330000,116139.1,0.08283,3.5,0.087
2026-08-15,비챤,이세계아이돌,326000,45176.8,0.09016,7.0,0.139
2026-08-15,사키하네 후야,StelLive,130000,107606.5,0.04374,3.44,0.828
2026-08-15,시라유키 히나,StelLive,319000,141076.5,0.03885,3.69,0.442
2026-08-15,아라하시 타비,StelLive,256000,180572.3,0.03848,4.06,0.705
2026-08-15,아야츠노 유니,StelLive,359000,123717.4,0.03918,2.9,0.345
2026-08-15,아이네,이세계아이돌,359000,134485.8,0.04926,1.88,0.375
2026-08-15,아카네 리제,StelLive,348000,266449.5,0.04095,5.49,0.766
2026-08-15,우사다 페코라,홀로라이브,2790000,259111.4,0.04991,7.81,0.093
2026-08-15,이누가미 코로네,홀로라이브,2280000,198463.0,0.05969,3.62,0.087
2026-08-15,주르르,이세계아이돌,411000,86169.9,0.0563,1.88,0.21
2026-08-15,징버거,이세계아이돌,421000,126920.0,0.05409,4.14,0.301
2026-08-15,호쇼 마린,홀로라이브,4400000,742480.4,0.07047,6.55,0.169
2026-08-16,가우르 구라,홀로라이브,4610000,1253329.9,0.0728,0.8,0.272
2026-08-16,고세구,이세계아이돌,537000,94838.4,0.0597,4.14,0.177
