comment_id,video_id,name_ko,name_en,unit,text,like_count,published_at,text_len,sid
UgwLNMYfDMkeV8hWP2t4AaABAg,P_oxx3_VpIY,유즈하 리코,Yuzuha Riko,CLICHE,많은 팬이 기다렸던 오리곡 드뎌 나오는구나 악당주의보!!!,220,2026-07-24T06:32:38Z,32,198
UgzxQAZDZ6H_GNiT2qF4AaABAg,wO7pHjlBdz4,텐코 시부키,Tenko Shibuki,CLICHE,뽀뽀할 때 바보털 하트되는 거 개귀엽네 ㅋㅋㅋㅋ,219,2026-07-24T09:13:41Z,26,199
Ugy-8_wcqrLubGu_PjJ4AaABAg,_GtqXRMM9ik,아야츠노 유니,Ayatsuno Yuni,EVERYS,"엘든링 아르냥 시참이 유튜브에 올라올줄은 몰랐는데 ㅋㅋㅋㅋ

진짜 재밌고 기억에 오래남을 컨텐츠였다 유든링",217,2026-06-25T09:04:34Z,59,200
Ugw3-r60UfebIuLcBGB4AaABAg,HbH5LgxkSm4,아라하시 타비,Arahashi Tabi,UNIVERSE,육수 끓으려면 불 꺼버리는게 불조절 야무지네ㅋㅋㅋㅋ,214,2026-07-15T06:37:53Z,28,201
UgymjCIVp9-x4whvX9J4AaABAg,yY_Al_ZYnvA,네네코 마시로,Neneko Mashiro,UNIVERSE,2:19 이런 냥아치라면 제 지갑을 바치겠습니다...,208,2026-07-05T09:41:21Z,29,202
Ugxt7vuOOZp5rd4XdI94AaABAg,w16uoVZpKqY,사키하네 후야,Sakihane Huya,EVERYS,귀여운 후야님이 귀여운 그림체를 받고 귀여운곡까지 들리는데 그와중에 귀여운 통통꼬리또한 부각되니 이토록 귀여운 쇼츠가 또있을지 궁금할 정도군요. 물론 후야님은 매일매일이 귀엽긴 합니다만 이 쇼츠에선 노리고 귀여움을 뽐내기 때문에 이 말을 전하지 않을수가 없겠습니다. 귀여운 후야를 보니 대뷔때가 떠오르는군요. 대뷔때부터 귀엽다고 판단했습니다만 지금처럼 귀엽고 무해해질것이라곤 생각하지 못하였습니다. 역시 후야님은 귀여움에 대한 재능을 타고나신것 같군요. 저도 바쿠로써 후야님의 귀여움을 본받아 최대한 귀여워지도록 시도를 해보겠습니다. 감사합니다.,205,2026-07-28T22:22:30Z,305,203
Ugw3PXNRiGvQ5ts5NTV4AaABAg,Uuf2oipmXHg,텐코 시부키,Tenko Shibuki,CLICHE,후배선배는 그냥 삥뜯는거잖아 ㅋㅋㅋ,203,2026-07-11T07:11:34Z,19,204
UgxP85Pl4W3p97F7dhx4AaABAg,KxG2L57W0SQ,아라하시 타비,Arahashi Tabi,UNIVERSE,ㅅㅂ 존나 웃기네ㅋㅋㅋㅋㅋ,202,2026-06-29T04:30:34Z,14,205
UgwwNp3jOwjpAE5V7O54AaABAg,1tnc3DNZfoc,아야츠노 유니,Ayatsuno Yuni,EVERYS,롯데추천한놈 엎드려 콱씨그냥 뉴비한테 변기통에 내려야할 팀을 추천하지말란말이다,202,2026-06-16T09:35:12Z,43,206
UgwbtGN5VWqIF86sML54AaABAg,lR8FEwEnuqk,시라유키 히나,Shirayuki Hina,UNIVERSE,ㅋㅋㅋ 공주는 거짓말 안한대~~ 그래도 히나랑 살다니 정말 부러운 뇨석,201,2026-07-15T06:17:30Z,39,207
